aktar,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
aldrig,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
allt,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
ämnar,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
andar,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
ängar,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
binder,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
bland,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
blommorna,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
blomster,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
blomstra,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
blomstren,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
blott,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
bort,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
bräntSom,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
deras,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
dimmorna,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
dina,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
doftar,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
dräkt,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
efter,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
evigt,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
fåglar,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
fagra,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
femton,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
fingrar,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
fläkt,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
förbliver,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
fördriver,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
förkunna,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
försåtlig,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
framklingar,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
främst,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
från,Pingst,Sommarpsalm,Barnets föddes i ett stall,Och jungfrun hon går i ringen,Glädjens blomster
friska,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
fröjd,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
gevär,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
glada,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
Glädjens,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
gro!,Glädjens blomster,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen
grönskas,Sommarpsalm,Barnets föddes i ett stall,Pingst,Och jungfrun hon går i ringen,Glädjens blomster
gullband,Och jungfrun hon går i ringen,Sommarpsalm,Barnets föddes i ett stall,Pingst,Glädjens blomster
